text_number,word_count,file_size,time_taken,provider,model,text
1,6,43.59375,2.0008718967437744,openai,tts-1,คุณชอบทานอาหารประเภทไหน?
2,10,78.75,1.9218113422393799,openai,tts-1,คุณคิดว่าในอนาคตเทคโนโลยีจะพัฒนาไปอย่างไร?
3,15,130.78125,2.414381742477417,openai,tts-1,คุณเห็นว่าการศึกษาควรมีการเปลี่ยนแปลงอย่างไรเพื่อให้ทันกับโลกในปัจจุบัน?
4,12,73.59375,1.1880290508270264,openai,tts-1,อะไรคือสิ่งที่คุณอยากทำมากที่สุดในชีวิต?
5,10,60.9375,3.093804359436035,openai,tts-1,คุณมีความคิดอย่างไรเกี่ยวกับการทำงานจากที่บ้าน?
6,10,111.09375,1.7292773723602295,openai,tts-1,คุณคิดว่าการเปลี่ยนแปลงสภาพภูมิอากาศเป็นปัญหาที่สำคัญอย่างไร?
7,6,48.75,2.0026121139526367,openai,tts-1,คุณชอบอ่านหนังสือประเภทไหน?
8,10,81.5625,2.65555477142334,openai,tts-1,มีประสบการณ์ไหนที่คุณรู้สึกภูมิใจในชีวิตบ้าง?
9,12,62.34375,1.3097901344299316,openai,tts-1,คุณคิดว่าอะไรคือปัญหาหลักของสังคมในปัจจุบัน?
10,9,101.71875,1.6217525005340576,openai,tts-1,คุณเคยมีประสบการณ์ที่ทำให้คุณเปลี่ยนแปลงความคิดหรือไม่?
11,6,45.0,1.3379015922546387,openai,tts-1,คุณชอบทานอาหารประเภทไหน?
12,10,78.28125,1.1368749141693115,openai,tts-1,คุณคิดว่าในอนาคตเทคโนโลยีจะพัฒนาไปอย่างไร?
13,15,110.15625,1.8992342948913574,openai,tts-1,คุณเห็นว่าการศึกษาควรมีการเปลี่ยนแปลงอย่างไรเพื่อให้ทันกับโลกในปัจจุบัน?
14,12,73.59375,2.1819469928741455,openai,tts-1,อะไรคือสิ่งที่คุณอยากทำมากที่สุดในชีวิต?
15,10,64.6875,1.9918277263641357,openai,tts-1,คุณมีความคิดอย่างไรเกี่ยวกับการทำงานจากที่บ้าน?
16,10,109.21875,1.6026549339294434,openai,tts-1,คุณคิดว่าการเปลี่ยนแปลงสภาพภูมิอากาศเป็นปัญหาที่สำคัญอย่างไร?
17,6,49.21875,2.2100961208343506,openai,tts-1,คุณชอบอ่านหนังสือประเภทไหน?
18,10,82.96875,2.279454231262207,openai,tts-1,มีประสบการณ์ไหนที่คุณรู้สึกภูมิใจในชีวิตบ้าง?
19,12,82.5,2.717186212539673,openai,tts-1,คุณคิดว่าอะไรคือปัญหาหลักของสังคมในปัจจุบัน?
20,9,81.09375,1.9871294498443604,openai,tts-1,คุณเคยมีประสบการณ์ที่ทำให้คุณเปลี่ยนแปลงความคิดหรือไม่?
21,6,43.125,1.8172156810760498,openai,tts-1,คุณชอบทานอาหารประเภทไหน?
22,10,75.9375,1.6132581233978271,openai,tts-1,คุณคิดว่าในอนาคตเทคโนโลยีจะพัฒนาไปอย่างไร?
23,15,132.65625,2.6932594776153564,openai,tts-1,คุณเห็นว่าการศึกษาควรมีการเปลี่ยนแปลงอย่างไรเพื่อให้ทันกับโลกในปัจจุบัน?
24,12,63.28125,2.033485174179077,openai,tts-1,อะไรคือสิ่งที่คุณอยากทำมากที่สุดในชีวิต?
25,10,80.625,2.1070597171783447,openai,tts-1,คุณมีความคิดอย่างไรเกี่ยวกับการทำงานจากที่บ้าน?
26,10,110.625,1.3077456951141357,openai,tts-1,คุณคิดว่าการเปลี่ยนแปลงสภาพภูมิอากาศเป็นปัญหาที่สำคัญอย่างไร?
27,6,45.0,1.7704195976257324,openai,tts-1,คุณชอบอ่านหนังสือประเภทไหน?
28,10,80.625,2.086763620376587,openai,tts-1,มีประสบการณ์ไหนที่คุณรู้สึกภูมิใจในชีวิตบ้าง?
29,12,73.125,1.5254149436950684,openai,tts-1,คุณคิดว่าอะไรคือปัญหาหลักของสังคมในปัจจุบัน?
30,9,90.0,2.368680000305176,openai,tts-1,คุณเคยมีประสบการณ์ที่ทำให้คุณเปลี่ยนแปลงความคิดหรือไม่?
31,6,43.125,1.2131643295288086,openai,tts-1,คุณชอบทานอาหารประเภทไหน?
32,10,74.53125,2.514240264892578,openai,tts-1,คุณคิดว่าในอนาคตเทคโนโลยีจะพัฒนาไปอย่างไร?
33,15,122.34375,1.9370992183685303,openai,tts-1,คุณเห็นว่าการศึกษาควรมีการเปลี่ยนแปลงอย่างไรเพื่อให้ทันกับโลกในปัจจุบัน?
34,12,75.0,1.6304969787597656,openai,tts-1,อะไรคือสิ่งที่คุณอยากทำมากที่สุดในชีวิต?
35,10,86.71875,2.0570411682128906,openai,tts-1,คุณมีความคิดอย่างไรเกี่ยวกับการทำงานจากที่บ้าน?
36,10,113.90625,2.0720274448394775,openai,tts-1,คุณคิดว่าการเปลี่ยนแปลงสภาพภูมิอากาศเป็นปัญหาที่สำคัญอย่างไร?
37,6,48.28125,1.8209259510040283,openai,tts-1,คุณชอบอ่านหนังสือประเภทไหน?
38,10,81.09375,2.4150278568267822,openai,tts-1,มีประสบการณ์ไหนที่คุณรู้สึกภูมิใจในชีวิตบ้าง?
39,12,76.875,4.7481794357299805,openai,tts-1,คุณคิดว่าอะไรคือปัญหาหลักของสังคมในปัจจุบัน?
40,9,102.1875,1.7412104606628418,openai,tts-1,คุณเคยมีประสบการณ์ที่ทำให้คุณเปลี่ยนแปลงความคิดหรือไม่?
41,6,43.125,1.3727595806121826,openai,tts-1,คุณชอบทานอาหารประเภทไหน?
42,10,78.75,1.4852004051208496,openai,tts-1,คุณคิดว่าในอนาคตเทคโนโลยีจะพัฒนาไปอย่างไร?
43,15,133.125,1.6632609367370605,openai,tts-1,คุณเห็นว่าการศึกษาควรมีการเปลี่ยนแปลงอย่างไรเพื่อให้ทันกับโลกในปัจจุบัน?
44,12,68.90625,2.957357406616211,openai,tts-1,อะไรคือสิ่งที่คุณอยากทำมากที่สุดในชีวิต?
45,10,68.4375,1.8994245529174805,openai,tts-1,คุณมีความคิดอย่างไรเกี่ยวกับการทำงานจากที่บ้าน?
46,10,114.375,2.3394622802734375,openai,tts-1,คุณคิดว่าการเปลี่ยนแปลงสภาพภูมิอากาศเป็นปัญหาที่สำคัญอย่างไร?
47,6,50.15625,1.350306749343872,openai,tts-1,คุณชอบอ่านหนังสือประเภทไหน?
48,10,81.5625,1.6489078998565674,openai,tts-1,มีประสบการณ์ไหนที่คุณรู้สึกภูมิใจในชีวิตบ้าง?
49,12,82.03125,2.8786051273345947,openai,tts-1,คุณคิดว่าอะไรคือปัญหาหลักของสังคมในปัจจุบัน?
50,9,97.5,2.442143440246582,openai,tts-1,คุณเคยมีประสบการณ์ที่ทำให้คุณเปลี่ยนแปลงความคิดหรือไม่?
51,6,43.125,1.3568170070648193,openai,tts-1,คุณชอบทานอาหารประเภทไหน?
52,10,75.0,1.8758466243743896,openai,tts-1,คุณคิดว่าในอนาคตเทคโนโลยีจะพัฒนาไปอย่างไร?
53,15,124.6875,2.051600694656372,openai,tts-1,คุณเห็นว่าการศึกษาควรมีการเปลี่ยนแปลงอย่างไรเพื่อให้ทันกับโลกในปัจจุบัน?
54,12,59.0625,1.3972928524017334,openai,tts-1,อะไรคือสิ่งที่คุณอยากทำมากที่สุดในชีวิต?
55,10,84.84375,2.046225070953369,openai,tts-1,คุณมีความคิดอย่างไรเกี่ยวกับการทำงานจากที่บ้าน?
56,10,113.90625,1.7114403247833252,openai,tts-1,คุณคิดว่าการเปลี่ยนแปลงสภาพภูมิอากาศเป็นปัญหาที่สำคัญอย่างไร?
57,6,44.0625,1.5833134651184082,openai,tts-1,คุณชอบอ่านหนังสือประเภทไหน?
58,10,84.375,1.585184097290039,openai,tts-1,มีประสบการณ์ไหนที่คุณรู้สึกภูมิใจในชีวิตบ้าง?
59,12,79.21875,1.7944238185882568,openai,tts-1,คุณคิดว่าอะไรคือปัญหาหลักของสังคมในปัจจุบัน?
60,9,103.125,1.844888687133789,openai,tts-1,คุณเคยมีประสบการณ์ที่ทำให้คุณเปลี่ยนแปลงความคิดหรือไม่?
61,6,43.59375,1.568197250366211,openai,tts-1,คุณชอบทานอาหารประเภทไหน?
62,10,78.28125,1.4027214050292969,openai,tts-1,คุณคิดว่าในอนาคตเทคโนโลยีจะพัฒนาไปอย่างไร?
63,15,132.65625,2.3209259510040283,openai,tts-1,คุณเห็นว่าการศึกษาควรมีการเปลี่ยนแปลงอย่างไรเพื่อให้ทันกับโลกในปัจจุบัน?
64,12,70.78125,1.4258179664611816,openai,tts-1,อะไรคือสิ่งที่คุณอยากทำมากที่สุดในชีวิต?
65,10,73.59375,1.9267809391021729,openai,tts-1,คุณมีความคิดอย่างไรเกี่ยวกับการทำงานจากที่บ้าน?
66,10,104.0625,1.6013054847717285,openai,tts-1,คุณคิดว่าการเปลี่ยนแปลงสภาพภูมิอากาศเป็นปัญหาที่สำคัญอย่างไร?
67,6,48.75,1.5135936737060547,openai,tts-1,คุณชอบอ่านหนังสือประเภทไหน?
68,10,83.90625,1.3418879508972168,openai,tts-1,มีประสบการณ์ไหนที่คุณรู้สึกภูมิใจในชีวิตบ้าง?
69,12,80.625,2.5746870040893555,openai,tts-1,คุณคิดว่าอะไรคือปัญหาหลักของสังคมในปัจจุบัน?
70,9,78.75,1.7421519756317139,openai,tts-1,คุณเคยมีประสบการณ์ที่ทำให้คุณเปลี่ยนแปลงความคิดหรือไม่?
71,6,43.125,1.1418352127075195,openai,tts-1,คุณชอบทานอาหารประเภทไหน?
72,10,75.0,1.8439202308654785,openai,tts-1,คุณคิดว่าในอนาคตเทคโนโลยีจะพัฒนาไปอย่างไร?
73,15,131.71875,1.5272631645202637,openai,tts-1,คุณเห็นว่าการศึกษาควรมีการเปลี่ยนแปลงอย่างไรเพื่อให้ทันกับโลกในปัจจุบัน?
74,12,73.59375,1.3688781261444092,openai,tts-1,อะไรคือสิ่งที่คุณอยากทำมากที่สุดในชีวิต?
75,10,87.65625,2.0751912593841553,openai,tts-1,คุณมีความคิดอย่างไรเกี่ยวกับการทำงานจากที่บ้าน?
76,10,98.90625,1.6761388778686523,openai,tts-1,คุณคิดว่าการเปลี่ยนแปลงสภาพภูมิอากาศเป็นปัญหาที่สำคัญอย่างไร?
77,6,46.875,1.9709486961364746,openai,tts-1,คุณชอบอ่านหนังสือประเภทไหน?
78,10,79.21875,2.013087034225464,openai,tts-1,มีประสบการณ์ไหนที่คุณรู้สึกภูมิใจในชีวิตบ้าง?
79,12,77.8125,1.7461977005004883,openai,tts-1,คุณคิดว่าอะไรคือปัญหาหลักของสังคมในปัจจุบัน?
80,9,88.125,2.1151962280273438,openai,tts-1,คุณเคยมีประสบการณ์ที่ทำให้คุณเปลี่ยนแปลงความคิดหรือไม่?
81,6,39.84375,1.430797815322876,openai,tts-1,คุณชอบทานอาหารประเภทไหน?
82,10,75.46875,1.3926799297332764,openai,tts-1,คุณคิดว่าในอนาคตเทคโนโลยีจะพัฒนาไปอย่างไร?
83,15,133.59375,2.8267874717712402,openai,tts-1,คุณเห็นว่าการศึกษาควรมีการเปลี่ยนแปลงอย่างไรเพื่อให้ทันกับโลกในปัจจุบัน?
