Provider,Model,Filename,Transcript Text,Expected Text,Result,Number of Mismatched Words,Mismatched Words,Levenshtein Distance
Openai,Whisper,botnoi_tts_1.wav,ขั้นป้อนการของเงินคืนผ่านออนไลน์สับซ้อนเกินไป,ขั้นตอนการขอเงินคืนผ่านออนไลน์ซับซ้อนเกินไป,Correct,0,[],0.06818181818181823
Openai,Whisper,botnoi_tts_2.wav,ประการมีข้อจำกัดที่ไม่แจ้งรวงหน้า,ประกันมีข้อจำกัดที่ไม่แจ้งล่วงหน้า,Correct,0,[],0.10447761194029848
Openai,Whisper,botnoi_tts_3.wav,ฉันยังไม่ได้รับเงินคืนจากการคืนสินค้า,ฉันยังไม่ได้รับเงินคืนจากการคืนสินค้า,Correct,0,[],0.0
Openai,Whisper,botnoi_tts_4.wav,การประกันคอบคุงความเสียหายได้ครบท่วน,การประกันครอบคลุมความเสียหายได้ครบถ้วน,Correct,0,[],0.10810810810810811
Openai,Whisper,botnoi_tts_5.wav,ข้อมูลประการไม่ค่อยชัดเจน,ข้อมูลประกันไม่ค่อยชัดเจน,Correct,0,[],0.07999999999999996
Openai,Whisper,botnoi_tts_6.wav,ขอรายละเอียดเพิ่มเติมเกี่ยวกับการใช้งานสินค้า,ขอรายละเอียดเพิ่มเติมเกี่ยวกับการใช้งานสินค้า,Correct,0,[],0.0
Openai,Whisper,botnoi_tts_7.wav,การตอบกลับของซัปพอร์ตเร็วและสุภาพ,การตอบกลับของซัพพอร์ตเร็วและสุภาพ,Correct,0,[],0.030303030303030276
Openai,Whisper,botnoi_tts_8.wav,พนักงานให้ข้อมูลเรื่องการคืนสินค้าได้ชัดเจน,พนักงานให้ข้อมูลเรื่องการคืนสินค้าได้ชัดเจน,Correct,0,[],0.0
Openai,Whisper,botnoi_tts_9.wav,การติดต่อขอข้อมูลเพิ่มเติมใช้เวลานาน,การติดต่อขอข้อมูลเพิ่มเติมใช้เวลานาน,Correct,0,[],0.0
Openai,Whisper,botnoi_tts_10.wav,รายละเอียดประการสินค้ายังไม่ชัดเจน,รายละเอียดประกันสินค้ายังไม่ชัดเจน,Correct,0,[],0.05882352941176472
Openai,Whisper,botnoi_tts_11.wav,การประกันของสินค้านี้คุ้มค่ามาก,การประกันของสินค้านี้คุ้มค่ามาก,Correct,0,[],0.0
Openai,Whisper,botnoi_tts_12.wav,การประกันคอบคุงรายะเวลานานกว่าที่คิด,การประกันครอบคลุมระยะเวลานานกว่าที่คิด,Correct,0,[],0.08108108108108103
Openai,Whisper,botnoi_tts_13.wav,ได้รับการช่วยเหลือเรื่องการคืนสินค้ายอย่างรวดเร็ว,ได้รับการช่วยเหลือเรื่องการคืนสินค้าอย่างรวดเร็ว,Correct,0,[],0.010309278350515427
Openai,Whisper,botnoi_tts_14.wav,อยากทราบขั้นตอนการของเหนือนคืน,อยากทราบขั้นตอนการขอเงินคืน,Correct,0,[],0.1228070175438597
Openai,Whisper,botnoi_tts_15.wav,รายละเอียดประการเข้าใจยาก,รายละเอียดประกันเข้าใจยาก,Correct,0,[],0.07999999999999996
Openai,Whisper,botnoi_tts_16.wav,ขอข้อมูลเพิ่มเติมเกี่ยวกับการซ่อมสินค้า,ขอข้อมูลเพิ่มเติมเกี่ยวกับการซ่อมสินค้า,Correct,0,[],0.0
Openai,Whisper,botnoi_tts_17.wav,ได้รับเงินคืนภายในไม่กี่วัน,ได้รับเงินคืนภายในไม่กี่วัน,Correct,0,[],0.0
Openai,Whisper,botnoi_tts_18.wav,ขั้นตอนการคืนสินค้ายุ่งยาก,ขั้นตอนการคืนสินค้ายุ่งยาก,Correct,0,[],0.0
Openai,Whisper,botnoi_tts_19.wav,รายละเอียดการคืนสินค้าไม่ชัดเจน,รายละเอียดการคืนสินค้าไม่ชัดเจน,Correct,0,[],0.0
Openai,Whisper,botnoi_tts_20.wav,Supportให้ข้อมูลเพิ่มเติมเกี่ยวกับประการได้ละเอียด,ซัพพอร์ตให้ข้อมูลเพิ่มเติมเกี่ยวกับประกันได้ละเอียด,Incorrect,1,['Supportให้ข้อมูลเพิ่มเติมเกี่ยวกับประการได้ละเอียด'],0.18811881188118806
Openai,Whisper,botnoi_tts_21.wav,พนักงานให้ข้อมูลการประกันได้ไม่ครบ,พนักงานให้ข้อมูลการประกันได้ไม่ครบ,Correct,0,[],0.0
Openai,Whisper,botnoi_tts_22.wav,ขั้นตอนการเคลียมประกันสับซ้อน,ขั้นตอนการเคลมประกันซับซ้อน,Correct,0,[],0.0714285714285714
Openai,Whisper,botnoi_tts_23.wav,การขอข้อมูลเพิ่มเติมผ่านใช้สะดวกมาก,การขอข้อมูลเพิ่มเติมผ่านแชทสะดวกมาก,Correct,0,[],0.05714285714285716
Openai,Whisper,botnoi_tts_24.wav,การขอข้อมูลเพิ่มเติมทางโทรศัพท์ใช้เวลานาน,การขอข้อมูลเพิ่มเติมทางโทรศัพท์ใช้เวลานาน,Correct,0,[],0.0
Openai,Whisper,botnoi_tts_25.wav,สัปปอร์ตให้ข้อมูลการคืนสินค้าไม่ครบท่วน,ซัพพอร์ตให้ข้อมูลการคืนสินค้าไม่ครบถ้วน,Correct,0,[],0.1282051282051282
Openai,Whisper,botnoi_tts_26.wav,ได้รับข้อมูลประการที่ตรงกับความต้องการ,ได้รับข้อมูลประกันที่ตรงกับความต้องการ,Correct,0,[],0.052631578947368474
Openai,Whisper,botnoi_tts_27.wav,รายละเอียดประการมีประโยชน์มาก,รายละเอียดประกันมีประโยชน์มาก,Correct,0,[],0.06896551724137934
Openai,Whisper,botnoi_tts_28.wav,อยากทราบเนื่อนขายการประการ,อยากทราบเงื่อนไขการประกัน,Incorrect,1,['อยากทราบเนื่อนขายการประการ'],0.17647058823529416
Openai,Whisper,botnoi_tts_29.wav,การคืนสินค้าไม่เป็นไปตามที่ระบุ,การคืนสินค้าไม่เป็นไปตามที่ระบุ,Correct,0,[],0.0
Openai,Whisper,botnoi_tts_30.wav,ได้รับการบริการที่ดีจากสัปพอสในการคืนสินค้า,ได้รับการบริการที่ดีจากซัพพอร์ตในการคืนสินค้า,Correct,0,[],0.09090909090909094
Openai,Whisper,botnoi_tts_31.wav,อยากทราบข้อมูลเพิ่มเติมเกี่ยวกับการขนส่ง,อยากทราบข้อมูลเพิ่มเติมเกี่ยวกับการขนส่ง,Correct,0,[],0.0
Openai,Whisper,botnoi_tts_32.wav,การประกันข้อบคุมหลายด้านดีมาก,การประกันครอบคลุมหลายด้านดีมาก,Correct,0,[],0.0847457627118644
Openai,Whisper,botnoi_tts_33.wav,การประการไม่ได้คอบคุมตามที่แจ้งไว้,การประกันไม่ได้ครอบคลุมตามที่แจ้งไว้,Correct,0,[],0.08571428571428574
Openai,Whisper,botnoi_tts_34.wav,ขอรายละเอียดการขนส่งเพิ่มเติม,ขอรายละเอียดการขนส่งเพิ่มเติม,Correct,0,[],0.0
Openai,Whisper,botnoi_tts_35.wav,ซับพอตอบคำถามเกี่ยวกับประกันได้เร็ว,ซัพพอร์ตตอบคำถามเกี่ยวกับประกันได้เร็ว,Correct,0,[],0.06849315068493156
Openai,Whisper,botnoi_tts_36.wav,การขอข้อมูลเพิ่มเติมยุ่งยากมาก,การขอข้อมูลเพิ่มเติมยุ่งยากมาก,Correct,0,[],0.0
Openai,Whisper,botnoi_tts_37.wav,Support ไม่สามารถตอบคำถามเรื่องการคืนสินค้าได้,ซัพพอร์ตไม่สามารถตอบคำถามเรื่องการคืนสินค้าได้,Incorrect,2,"['Support', 'ไม่สามารถตอบคำถามเรื่องการคืนสินค้าได้']",0.17391304347826086
Openai,Whisper,botnoi_tts_38.wav,อยากทราบข้อมูลการประกันแบบละเอียด,อยากทราบข้อมูลการประกันแบบละเอียด,Correct,0,[],0.0
Openai,Whisper,botnoi_tts_39.wav,ได้รับการคืนเงินตามที่สัญญาไว้,ได้รับการคืนเงินตามที่สัญญาไว้,Correct,0,[],0.0
Openai,Whisper,botnoi_tts_40.wav,Support ให้ข้อมูลผิดเกี่ยวกับการคืนสินค้า,ซัพพอร์ตให้ข้อมูลผิดเกี่ยวกับการคืนสินค้า,Incorrect,2,"['Support', 'ให้ข้อมูลผิดเกี่ยวกับการคืนสินค้า']",0.19512195121951215
Openai,Whisper,botnoi_tts_41.wav,การประกันขอบคุงดี และให้บริการที่ดีอีก,การประกันครอบคลุมดีและให้บริการที่ดี,Incorrect,2,"['การประกันขอบคุงดี', 'และให้บริการที่ดีอีก']",0.1351351351351351
Openai,Whisper,botnoi_tts_42.wav,การตอบกลับของพนักงานรวดเร็วและมีประโยชน์,การตอบกลับของพนักงานรวดเร็วและมีประโยชน์,Correct,0,[],0.0
Openai,Whisper,botnoi_tts_43.wav,ขอข้อมูลการประกันเพิ่มเติม แต่ยังไม่ได้รับคำตอบ,ขอข้อมูลการประกันเพิ่มเติมแต่ยังไม่ได้รับคำตอบ,Incorrect,2,"['ขอข้อมูลการประกันเพิ่มเติม', 'แต่ยังไม่ได้รับคำตอบ']",0.010752688172043001
Openai,Whisper,botnoi_tts_44.wav,การขอเงินคืนทำได้ง่ายและรวดเร็ว,การขอเงินคืนทำได้ง่ายและรวดเร็ว,Correct,0,[],0.0
Openai,Whisper,botnoi_tts_45.wav,ข้อมูลที่ได้รับจาก Support มีประโยชน์,ข้อมูลที่ได้รับจากซัพพอร์ตมีประโยชน์,Incorrect,3,"['ข้อมูลที่ได้รับจาก', 'Support', 'มีประโยชน์']",0.23287671232876717
Openai,Whisper,botnoi_tts_46.wav,รายละเอียดการคืนสินค้ายังไม่คบท่วน,รายละเอียดการคืนสินค้ายังไม่ครบถ้วน,Correct,0,[],0.07246376811594202
Openai,Whisper,botnoi_tts_47.wav,การขอเงินคืนทำได้ยากเกินไป,การขอเงินคืนทำได้ยากเกินไป,Correct,0,[],0.0
Openai,Whisper,botnoi_tts_48.wav,ขั้นตอนการของเงินคืนใช้เวลานาน,ขั้นตอนการขอเงินคืนใช้เวลานาน,Correct,0,[],0.016949152542372836
Openai,Whisper,botnoi_tts_49.wav,ได้รับการช่วยเหลือที่ดีจาก Support,ได้รับการช่วยเหลือที่ดีจากซัพพอร์ต,Incorrect,1,['Support'],0.23529411764705888
Openai,Whisper,botnoi_tts_50.wav,การให้บริการของซับพอดไม่ดีอีก,การให้บริการของซัพพอร์ตไม่ดี,Incorrect,1,['การให้บริการของซับพอดไม่ดีอีก'],0.1578947368421053
Openai,Whisper,botnoi_tts_51.wav,พนักงานให้ข้อมูลเพิ่มเติมไม่ตรงกับที่ต้องการ,พนักงานให้ข้อมูลเพิ่มเติมไม่ตรงกับที่ต้องการ,Correct,0,[],0.0
Openai,Whisper,botnoi_tts_52.wav,ได้รับการคืนเงินที่รวดเร็วและสะดวก,ได้รับการคืนเงินที่รวดเร็วและสะดวก,Correct,0,[],0.0
Openai,Whisper,botnoi_tts_53.wav,ซัปปอร์ตให้คำแนะนำเกี่ยวกับการประการที่ดีอีก,ซัพพอร์ตให้คำแนะนำเกี่ยวกับการประกันที่ดี,Correct,0,[],0.12941176470588234
Openai,Whisper,botnoi_tts_54.wav,การคืนสินค้าได้รับการดูแลอย่างดี,การคืนสินค้าได้รับการดูแลอย่างดี,Correct,0,[],0.0
Openai,Whisper,botnoi_tts_55.wav,การขอเงินคืนทำได้ง่ายและสะดวก,การขอเงินคืนทำได้ง่ายและสะดวก,Correct,0,[],0.0
Openai,Whisper,botnoi_tts_56.wav,รายละเอียดประการที่ได้รับไม่เพียงพอ,รายละเอียดประกันที่ได้รับไม่เพียงพอ,Correct,0,[],0.05714285714285716
Openai,Whisper,botnoi_tts_57.wav,อยากสามวิธีการคืนสินค้า,อยากทราบวิธีการคืนสินค้า,Correct,0,[],0.1063829787234043
Openai,Whisper,botnoi_tts_58.wav,การติดต่อเพื่อขอข้อมูลเพิ่มเติมทำได้ง่าย,การติดต่อเพื่อขอข้อมูลเพิ่มเติมทำได้ง่าย,Correct,0,[],0.0
Openai,Whisper,botnoi_tts_59.wav,พนักงานให้บริการการคืนสินค้าที่มีประสิทธิภาพ,พนักงานให้บริการการคืนสินค้าที่มีประสิทธิภาพ,Correct,0,[],0.0
Openai,Whisper,botnoi_tts_60.wav,การประกันของสินค้ายยังไม่ชัดเจน,การประกันของสินค้ายังไม่ชัดเจน,Correct,0,[],0.016393442622950838
Openai,Whisper,botnoi_tts_61.wav,รายละเอียดประการทำให้ฉันตัดสินใจซื้อได้ง่ายขึ้น,รายละเอียดประกันทำให้ฉันตัดสินใจซื้อได้ง่ายขึ้น,Correct,0,[],0.04255319148936165
Openai,Whisper,botnoi_tts_62.wav,การขอข้อมูลเพิ่มเติมผ่านอีเมลล่าช้า,การขอข้อมูลเพิ่มเติมผ่านอีเมลล่าช้า,Correct,0,[],0.0
Openai,Whisper,botnoi_tts_63.wav,อยากทราบข้อมูลการคืนสินค้าเพิ่มเติม,อยากทราบข้อมูลการคืนสินค้าเพิ่มเติม,Correct,0,[],0.0
Openai,Whisper,botnoi_tts_64.wav,ได้รับการบริการคืนสินค้าที่ดีอีก,ได้รับการบริการคืนสินค้าที่ดี,Correct,0,[],0.049180327868852514
Openai,Whisper,botnoi_tts_65.wav,การประการไม่คอบคุมเท่าที่ควร,การประกันไม่ครอบคลุมเท่าที่ควร,Correct,0,[],0.10344827586206895
Openai,Whisper,botnoi_tts_66.wav,ขอรายละเอียดเพิ่มเติมเกี่ยวกับวิธีการส่งคืน,ขอรายละเอียดเพิ่มเติมเกี่ยวกับวิธีการส่งคืน,Correct,0,[],0.0
Openai,Whisper,botnoi_tts_67.wav,การคืนสินค้าทำได้สะดวกและง่าย,การคืนสินค้าทำได้สะดวกและง่าย,Correct,0,[],0.0
Openai,Whisper,botnoi_tts_68.wav,รายละเอียดประการทำให้เข้าใจได้ง่าย,รายละเอียดประกันทำให้เข้าใจได้ง่าย,Correct,0,[],0.05882352941176472
Openai,Whisper,botnoi_tts_69.wav,ข้อมูลที่ได้รับจากการขอข้อมูลเพิ่มเติมไม่ชัดเจน,ข้อมูลที่ได้รับจากการขอข้อมูลเพิ่มเติมไม่ชัดเจน,Correct,0,[],0.0
Openai,Whisper,botnoi_tts_70.wav,การคืนสินค้าได้รับการจัดการอย่างรวดเร็ว,การคืนสินค้าได้รับการจัดการอย่างรวดเร็ว,Correct,0,[],0.0
Openai,Whisper,botnoi_tts_71.wav,ขอข้อมูลเพิ่มเติมเกี่ยวกับการขนส่ง,ขอข้อมูลเพิ่มเติมเกี่ยวกับการขนส่ง,Correct,0,[],0.0
Openai,Whisper,botnoi_tts_72.wav,ได้รับการบริการคืนสินค้าที่ดีมาก,ได้รับการบริการคืนสินค้าที่ดีมาก,Correct,0,[],0.0
Openai,Whisper,botnoi_tts_73.wav,การตอบกลับจาก support ใช้เวลานาน,การตอบกลับจากซัพพอร์ตใช้เวลานาน,Incorrect,3,"['การตอบกลับจาก', 'support', 'ใช้เวลานาน']",0.2698412698412699
Openai,Whisper,botnoi_tts_74.wav,การให้ข้อมูลเกี่ยวกับการคืนสินค้าราช้า,การให้ข้อมูลเกี่ยวกับการคืนสินค้าล่าช้า,Correct,0,[],0.038961038961038974
Openai,Whisper,botnoi_tts_75.wav,รายละเอียดประการคอบคุงดีฮี,รายละเอียดประกันครอบคลุมดี,Incorrect,1,['รายละเอียดประการคอบคุงดีฮี'],0.1923076923076923
Openai,Whisper,botnoi_tts_76.wav,ข้อมูลการประการไม่ตรงกับความต้องการ,ข้อมูลการประกันไม่ตรงกับความต้องการ,Correct,0,[],0.05714285714285716
Openai,Whisper,botnoi_tts_77.wav,การประการสินค้ามีประโยชน์มาก,การประกันสินค้ามีประโยชน์มาก,Correct,0,[],0.0714285714285714
Openai,Whisper,botnoi_tts_78.wav,การคืนสินค้าถูกปฏิเสธโดยไม่มีเหตุผล,การคืนสินค้าถูกปฏิเสธโดยไม่มีเหตุผล,Correct,0,[],0.0
