File Number,File Name,File Size (bytes),Time Taken (s),Word Count,Transcribed Text
1,common_voice_th_34926492.mp3,53181,2.5893681049346924,15,มียุทธศาสตร์ในการศึกษาให้รัฐสภามุ่งสู่ความเป็นรัฐจะพาที่ทันสมัย
2,common_voice_th_34926493.mp3,23805,1.180478572845459,2,รีวิวขอนแก่น
3,common_voice_th_34926494.mp3,47565,1.6868999004364014,13,ค่าอำนาจชื่นชมคนแปลว่าคุณกำลังทำอะไรพลาดสักอย่าง
4,common_voice_th_34926495.mp3,60525,2.0359039306640625,11,ลองไล่ประวัติโรงเรียนตัวเองดูเจอร่องรอยคณะราษฎรบ้างไหม
5,common_voice_th_34926497.mp3,52533,2.0831196308135986,18,ปีที่แล้วเห็นคนตื่นตัวทางการเมืองมองผลประโยชน์ของชาติเยอะมากทุกวันนี้หายไปไหนซะเยอะเลย
6,common_voice_th_34926662.mp3,42165,1.7854645252227783,15,คลินิกเอกชนจะบอกว่าที่เก็บข้อมูลหนี้เพื่อช่วยการดำเนินการของรัฐนะ
7,common_voice_th_34926663.mp3,51021,1.8890364170074463,20,รายละเอียดว่าจะส่งเครื่องไปเปลี่ยนแบตในราคาพิเศษยังไงทาง Apple จะแจ้งเพิ่มเติมทางก็รอดู
8,common_voice_th_34926664.mp3,15813,0.9825937747955322,2,ทุกฉายหนัง
9,common_voice_th_34926665.mp3,50373,1.9068543910980225,17,คือแกมาทางด้านศึกษาเมืองแต่หัวข้อที่มาพูดเป็นเรื่องการควบคุมโครงสร้างสื่อกับประชาธิปไตย
10,common_voice_th_34926666.mp3,15813,0.981921911239624,2,โดนน้ำ
11,common_voice_th_34926834.mp3,16461,1.0348405838012695,5,เอ็งตายไทย Facebook
