Input Text,Provider,Model,Time Taken (s),Input Word Count,Output Word Count,Language
การทำสมาธิมีประโยชน์อย่างไร?,Ollama,llama3.2 3b latest 2GB,3.565035820007324,4,39,Thai
ตลาดหุ้นทำงานอย่างไร?,Ollama,llama3.2 3b latest 2GB,11.410280227661133,4,91,Thai
การเปลี่ยนแปลงสภาพภูมิอากาศส่งผลกระทบต่อสิ่งมีชีวิตอย่างไร?,Ollama,llama3.2 3b latest 2GB,6.894097328186035,8,61,Thai
อธิบายทฤษฎีสัมพัทธ์ในแบบที่เข้าใจง่าย.,Ollama,llama3.2 3b latest 2GB,11.744233131408691,8,112,Thai
กลยุทธ์การบริหารเวลาที่มีประสิทธิภาพมีอะไรบ้าง?,Ollama,llama3.2 3b latest 2GB,7.622928142547607,9,80,Thai
การสังเคราะห์แสงทำงานอย่างไรในพืช?,Ollama,llama3.2 3b latest 2GB,9.874550580978394,7,109,Thai
สาเหตุและผลกระทบของภาวะโลกร้อนคืออะไร?,Ollama,llama3.2 3b latest 2GB,3.191606283187866,10,43,Thai
คุณสามารถอธิบายกระบวนการหายใจในเซลล์ได้ไหม?,Ollama,llama3.2 3b latest 2GB,9.63701844215393,10,100,Thai
ความแตกต่างระหว่างระบบเศรษฐกิจทุนนิยมและสังคมนิยมคืออะไร?,Ollama,llama3.2 3b latest 2GB,9.073790073394775,8,68,Thai
วัคซีนทำงานอย่างไรเพื่อป้องกันโรค?,Ollama,llama3.2 3b latest 2GB,9.181778192520142,7,74,Thai
หลักการสำคัญของการคิดเชิงออกแบบคืออะไร?,Ollama,llama3.2 3b latest 2GB,8.74639344215393,10,70,Thai
อธิบายความสำคัญของรัฐธรรมนูญ.,Ollama,llama3.2 3b latest 2GB,9.458730936050415,5,81,Thai
มีขั้นตอนอะไรบ้างในพัฒนาการของมนุษย์?,Ollama,llama3.2 3b latest 2GB,14.28685712814331,9,119,Thai
เทคโนโลยีบล็อกเชนทำงานอย่างไร?,Ollama,llama3.2 3b latest 2GB,14.854948043823242,5,128,Thai
ข้อดีและข้อเสียของพลังงานทดแทนมีอะไรบ้าง?,Ollama,llama3.2 3b latest 2GB,13.266591548919678,10,119,Thai
DNA มีบทบาทอย่างไรในพันธุกรรม?,Ollama,llama3.2 3b latest 2GB,5.077409505844116,7,62,Thai
แพลตฟอร์มโซเชียลมีเดียมีผลต่อการสื่อสารอย่างไร?,Ollama,llama3.2 3b latest 2GB,8.350282430648804,7,67,Thai
มีเคล็ดลับอะไรบ้างสำหรับการพูดในที่สาธารณะอย่างมีประสิทธิภาพ?,Ollama,llama3.2 3b latest 2GB,8.126867532730103,12,73,Thai
อธิบายแนวคิดของปัญญาประดิษฐ์.,Ollama,llama3.2 3b latest 2GB,10.031954288482666,5,92,Thai
รากฐานทางประวัติศาสตร์ของอินเทอร์เน็ตคืออะไร?,Ollama,llama3.2 3b latest 2GB,8.867658138275146,8,98,Thai
วัฒนธรรมต่างๆ มองสุขภาพจิตอย่างไร?,Ollama,llama3.2 3b latest 2GB,11.377179384231567,7,80,Thai
ธีมหลักในบทละครของเช็คสเปียร์มีอะไรบ้าง?,Ollama,llama3.2 3b latest 2GB,10.239710330963135,11,62,Thai
สมองของมนุษย์ประมวลผลข้อมูลอย่างไร?,Ollama,llama3.2 3b latest 2GB,9.031314849853516,6,103,Thai
ความสำคัญของความหลากหลายทางชีวภาพในระบบนิเวศคืออะไร?,Ollama,llama3.2 3b latest 2GB,6.327816724777222,10,60,Thai
คุณวัดการเติบโตทางเศรษฐกิจได้อย่างไร?,Ollama,llama3.2 3b latest 2GB,10.124266386032104,8,87,Thai
ผลกระทบของการตัดไม้ทำลายป่าต่อสิ่งแวดล้อมมีอะไรบ้าง?,Ollama,llama3.2 3b latest 2GB,11.880878448486328,10,92,Thai
คุณสามารถอธิบายกระบวนการคัดเลือกตามธรรมชาติได้ไหม?,Ollama,llama3.2 3b latest 2GB,11.038748264312744,10,79,Thai
มีอคติทางความคิดที่พบบ่อยอะไรบ้าง?,Ollama,llama3.2 3b latest 2GB,10.849346160888672,9,101,Thai
ความแตกต่างทางวัฒนธรรมมีผลต่อรูปแบบการเจรจาอย่างไร?,Ollama,llama3.2 3b latest 2GB,12.824357748031616,8,95,Thai
ผลกระทบที่เป็นไปได้ของการใช้เทคโนโลยีอัตโนมัติต่ออาชีพคืออะไร?,Ollama,llama3.2 3b latest 2GB,16.354655265808105,13,115,Thai
อธิบายความสำคัญของวิธีวิทยาศาสตร์.,Ollama,llama3.2 3b latest 2GB,7.408826589584351,6,62,Thai
สาเหตุหลักของความยากจนทั่วโลกมีอะไรบ้าง?,Ollama,llama3.2 3b latest 2GB,17.76992964744568,9,104,Thai
โฆษณามีอิทธิพลต่อพฤติกรรมของผู้บริโภคอย่างไร?,Ollama,llama3.2 3b latest 2GB,9.141266107559204,8,72,Thai
