Provider,Model,Filename,Transcript Text,Expected Text,Result,Number of Mismatched Words,Mismatched Words,Levenshtein Distance
amazon,transcribe,botnoi_tts_1.wav,การคืนสินค้าใช้เวลานานกว่าที่คาดหวัง,การคืนสินค้าใช้เวลานานกว่าที่คาดหวัง,Correct,0,[],0.0
amazon,transcribe,botnoi_tts_2.wav,กระบวนการคืนสินค้าเป็นไปอย่างราบรื่น,กระบวนการคืนสินค้าเป็นไปอย่างราบรื่น,Correct,0,[],0.0
amazon,transcribe,botnoi_tts_3.wav,ฉันยังไม่ได้รับเงินคืนจากการคืนสินค้า,ฉันยังไม่ได้รับเงินคืนจากการคืนสินค้า,Correct,0,[],0.0
amazon,transcribe,botnoi_tts_4.wav,การประกันครอบคลุมความเสียหายได้ครบถ้วน,การประกันครอบคลุมความเสียหายได้ครบถ้วน,Correct,0,[],0.0
amazon,transcribe,botnoi_tts_5.wav,ข้อมูลประกันไม่ค่อยชัดเจน,ข้อมูลประกันไม่ค่อยชัดเจน,Correct,0,[],0.0
amazon,transcribe,botnoi_tts_6.wav,ขอรายละเอียดเพิ่มเติมเกี่ยวกับการใช้งานสินค้า,ขอรายละเอียดเพิ่มเติมเกี่ยวกับการใช้งานสินค้า,Correct,0,[],0.0
amazon,transcribe,botnoi_tts_7.wav,การตอบกลับของซัพพอร์ตเร็วและสุภาพ,การตอบกลับของซัพพอร์ตเร็วและสุภาพ,Correct,0,[],0.0
amazon,transcribe,botnoi_tts_8.wav,พนักงานให้ข้อมูลเรื่องการคืนสินค้าได้ชัดเจน,พนักงานให้ข้อมูลเรื่องการคืนสินค้าได้ชัดเจน,Correct,0,[],0.0
amazon,transcribe,botnoi_tts_9.wav,การติดต่อขอข้อมูลเพิ่มเติมใช้เวลานาน,การติดต่อขอข้อมูลเพิ่มเติมใช้เวลานาน,Correct,0,[],0.0
amazon,transcribe,botnoi_tts_10.wav,รายละเอียดประกันสินค้ายังไม่ชัดเจน,รายละเอียดประกันสินค้ายังไม่ชัดเจน,Correct,0,[],0.0
amazon,transcribe,botnoi_tts_11.wav,การประกันของสินค้านี้คุ้มค่ามาก,การประกันของสินค้านี้คุ้มค่ามาก,Correct,0,[],0.0
amazon,transcribe,botnoi_tts_12.wav,การประกันครอบคลุมระยะเวลานานกว่าที่คิด,การประกันครอบคลุมระยะเวลานานกว่าที่คิด,Correct,0,[],0.0
amazon,transcribe,botnoi_tts_13.wav,ได้รับการช่วยเหลือเรื่องการคืนสินค้าอย่างรวดเร็ว,ได้รับการช่วยเหลือเรื่องการคืนสินค้าอย่างรวดเร็ว,Correct,0,[],0.0
amazon,transcribe,botnoi_tts_14.wav,อยากทราบขั้นตอนการของเงินคืน,อยากทราบขั้นตอนการขอเงินคืน,Incorrect,1,['อยากทราบขั้นตอนการของเงินคืน'],0.018181818181818188
amazon,transcribe,botnoi_tts_15.wav,รายละเอียดประกันเข้าใจยาก,รายละเอียดประกันเข้าใจยาก,Correct,0,[],0.0
amazon,transcribe,botnoi_tts_16.wav,ขอข้อมูลเพิ่มเติมเกี่ยวกับการซ่อมสินค้า,ขอข้อมูลเพิ่มเติมเกี่ยวกับการซ่อมสินค้า,Correct,0,[],0.0
amazon,transcribe,botnoi_tts_17.wav,ได้รับเงินคืนภายในไม่กี่วัน,ได้รับเงินคืนภายในไม่กี่วัน,Correct,0,[],0.0
amazon,transcribe,botnoi_tts_18.wav,ขั้นตอนการคืนสินค้ายุ่งยาก,ขั้นตอนการคืนสินค้ายุ่งยาก,Correct,0,[],0.0
amazon,transcribe,botnoi_tts_19.wav,รายละเอียดการคืนสินค้าไม่ชัดเจน,รายละเอียดการคืนสินค้าไม่ชัดเจน,Correct,0,[],0.0
amazon,transcribe,botnoi_tts_20.wav,ซัพพอร์ตให้ข้อมูลเพิ่มเติมเกี่ยวกับประกันได้ละเอียด,ซัพพอร์ตให้ข้อมูลเพิ่มเติมเกี่ยวกับประกันได้ละเอียด,Correct,0,[],0.0
amazon,transcribe,botnoi_tts_21.wav,พนักงานให้ข้อมูลการประกันได้ไม่ครบ,พนักงานให้ข้อมูลการประกันได้ไม่ครบ,Correct,0,[],0.0
amazon,transcribe,botnoi_tts_22.wav,ขั้นตอนการเคลมประกันซับซ้อน,ขั้นตอนการเคลมประกันซับซ้อน,Correct,0,[],0.0
amazon,transcribe,botnoi_tts_23.wav,การขอข้อมูลเพิ่มเติมผ่านชสะดวกมาก,การขอข้อมูลเพิ่มเติมผ่านแชทสะดวกมาก,Incorrect,1,['การขอข้อมูลเพิ่มเติมผ่านชสะดวกมาก'],0.02941176470588236
amazon,transcribe,botnoi_tts_24.wav,การขอข้อมูลเพิ่มเติมทางโทรศัพท์ใช้เวลานาน,การขอข้อมูลเพิ่มเติมทางโทรศัพท์ใช้เวลานาน,Correct,0,[],0.0
