Problem,Sentiment,Aspect
ปูนซีเมนต์ที่ซื้อไปแข็งตัวเร็วเกินไป ทำให้เทไม่ทัน,Negative,คุณภาพผลิตภัณฑ์
สอบถามวิธีการติดตั้งหลังคาเมทัลชีทค่ะ,Neutral,"การติดตั้ง, ข้อมูลผลิตภัณฑ์"
สีทาบ้านที่ซื้อไปสีซีดเร็วมาก ไม่ทนทานเท่าที่คิด,Negative,คุณภาพผลิตภัณฑ์
สั่งซื้ออิฐบล็อกไป แต่ได้รับสินค้าชำรุดหลายก้อนตรับ,Negative,"การจัดส่ง, คุณภาพผลิตภัณฑ์"
สอบถามเกี่ยวกับการเลือกใช้กระเบื้องหลังคาที่เหมาะสมกับสภาพอากาศร้อนชื้นค่ะ,Neutral,"การเลือกผลิตภัณฑ์, ข้อมูลผลิตภัณฑ์"
ปูนกาวที่ซื้อไปไม่ติดแน่น ทำให้กระเบื้องหลุดร่วงครับ,Negative,คุณภาพผลิตภัณฑ์
หลังคาเมทัลชีทรั่วซึมหลังจากฝนตกหนักค่ะ,Negative,"คุณภาพผลิตภัณฑ์, การติดตั้ง"
สอบถามเกี่ยวกับการเลือกใช้ไม้สังเคราะห์สำหรับทำระเบียงค่ะ,Neutral,"การเลือกผลิตภัณฑ์, ข้อมูลผลิตภัณฑ์"
สีทาภายในมีกลิ่นฉุนมาก ทำให้หายใจไม่สะดวกครับ,Negative,คุณภาพผลิตภัณฑ์
สั่งซื้อปูนซีเมนต์ไป แต่ได้รับสินค้าไม่ครบตามจำนวนที่สั่งค่ะ,Negative,"การจัดส่ง, บริการลูกค้า"
สอบถามวิธีการดูแลรักษาพื้นไม้ลามิเนตค่ะ,Neutral,"การดูแลรักษา, ข้อมูลผลิตภัณฑ์"
กระเบื้องหลังคาสีซีดเร็วมาก แถมยังมีรอยแตกอีกด้วย,Negative,คุณภาพผลิตภัณฑ์
สั่งซื้อวัสดุก่อสร้างไปหลายรายการ แต่ได้รับสินค้าไม่ตรงตามที่สั่งค่ะ,Negative,"การจัดส่ง, บริการลูกค้า"
สอบถามเกี่ยวกับการเลือกใช้ท่อ PVC ที่เหมาะสมสำหรับระบบประปาครับ,Neutral,"การเลือกผลิตภัณฑ์, ข้อมูลผลิตภัณฑ์"
ปูนกาวที่ซื้อไปแห้งเร็วเกินไป ทำให้ปูกระเบื้องไม่เรียบเสมอกันค่ะ,Negative,คุณภาพผลิตภัณฑ์
หลังคาเมทัลชีทมีเสียงดังเวลาฝนตกค่ะ,Negative,คุณภาพผลิตภัณฑ์
สอบถามเกี่ยวกับการเลือกใช้ไม้ระแนงสำหรับบังแดดครับ,Neutral,"การเลือกผลิตภัณฑ์, ข้อมูลผลิตภัณฑ์"
สีทาภายในเลอะเทอะง่ายมาก ทำความสะอาดยากครับ,Negative,คุณภาพผลิตภัณฑ์
สั่งซื้ออิฐบล็อกไป แต่ขนาดไม่ตรงตามที่ระบุไว้ในแคตตาล็อกค่ะ,Negative,"การจัดส่ง, คุณภาพผลิตภัณฑ์"
สอบถามวิธีการติดตั้งฝ้าทีบาร์ค่ะ,Neutral,"การติดตั้ง, ข้อมูลผลิตภัณฑ์"
กระเบื้องหลังคารั่วซึมตรงรอยต่อค่ะ,Negative,"คุณภาพผลิตภัณฑ์, การติดตั้ง"
