Input Text,Provider,Model,Time Taken (s),Input Word Count,Output Word Count,Language
การทำสมาธิมีประโยชน์อย่างไร?,Ollama,llama3.2 3b latest 2GB,6.4397132396698,4,82,Thai
ตลาดหุ้นทำงานอย่างไร?,Ollama,llama3.2 3b latest 2GB,2.2617154121398926,4,39,Thai
การเปลี่ยนแปลงสภาพภูมิอากาศส่งผลกระทบต่อสิ่งมีชีวิตอย่างไร?,Ollama,llama3.2 3b latest 2GB,11.635416984558105,8,82,Thai
อธิบายทฤษฎีสัมพัทธ์ในแบบที่เข้าใจง่าย.,Ollama,llama3.2 3b latest 2GB,10.13397216796875,8,122,Thai
กลยุทธ์การบริหารเวลาที่มีประสิทธิภาพมีอะไรบ้าง?,Ollama,llama3.2 3b latest 2GB,8.690882682800293,9,87,Thai
การสังเคราะห์แสงทำงานอย่างไรในพืช?,Ollama,llama3.2 3b latest 2GB,7.672724008560181,7,90,Thai
สาเหตุและผลกระทบของภาวะโลกร้อนคืออะไร?,Ollama,llama3.2 3b latest 2GB,4.251030921936035,10,60,Thai
คุณสามารถอธิบายกระบวนการหายใจในเซลล์ได้ไหม?,Ollama,llama3.2 3b latest 2GB,10.657236814498901,10,83,Thai
ความแตกต่างระหว่างระบบเศรษฐกิจทุนนิยมและสังคมนิยมคืออะไร?,Ollama,llama3.2 3b latest 2GB,5.3198747634887695,8,67,Thai
วัคซีนทำงานอย่างไรเพื่อป้องกันโรค?,Ollama,llama3.2 3b latest 2GB,12.004768133163452,7,102,Thai
หลักการสำคัญของการคิดเชิงออกแบบคืออะไร?,Ollama,llama3.2 3b latest 2GB,3.256263017654419,10,46,Thai
อธิบายความสำคัญของรัฐธรรมนูญ.,Ollama,llama3.2 3b latest 2GB,8.577373504638672,5,71,Thai
มีขั้นตอนอะไรบ้างในพัฒนาการของมนุษย์?,Ollama,llama3.2 3b latest 2GB,25.853986501693726,9,149,Thai
เทคโนโลยีบล็อกเชนทำงานอย่างไร?,Ollama,llama3.2 3b latest 2GB,10.22660493850708,5,78,Thai
ข้อดีและข้อเสียของพลังงานทดแทนมีอะไรบ้าง?,Ollama,llama3.2 3b latest 2GB,13.026489496231079,10,93,Thai
DNA มีบทบาทอย่างไรในพันธุกรรม?,Ollama,llama3.2 3b latest 2GB,7.8268914222717285,7,72,Thai
แพลตฟอร์มโซเชียลมีเดียมีผลต่อการสื่อสารอย่างไร?,Ollama,llama3.2 3b latest 2GB,9.037404537200928,7,67,Thai
มีเคล็ดลับอะไรบ้างสำหรับการพูดในที่สาธารณะอย่างมีประสิทธิภาพ?,Ollama,llama3.2 3b latest 2GB,9.738266706466675,12,110,Thai
อธิบายแนวคิดของปัญญาประดิษฐ์.,Ollama,llama3.2 3b latest 2GB,10.236878871917725,5,96,Thai
รากฐานทางประวัติศาสตร์ของอินเทอร์เน็ตคืออะไร?,Ollama,llama3.2 3b latest 2GB,14.067529678344727,8,126,Thai
