text_number,word_count,file_size,time_taken,provider,model,text
1,6,0.08842086791992188,1.0546445846557617,botnoi,tts,คุณชอบทานอาหารประเภทไหน?
2,10,0.15043258666992188,1.0829627513885498,botnoi,tts,คุณคิดว่าในอนาคตเทคโนโลยีจะพัฒนาไปอย่างไร?
3,15,0.20219039916992188,1.2671945095062256,botnoi,tts,คุณเห็นว่าการศึกษาควรมีการเปลี่ยนแปลงอย่างไรเพื่อให้ทันกับโลกในปัจจุบัน?
4,12,0.11576461791992188,1.1680161952972412,botnoi,tts,อะไรคือสิ่งที่คุณอยากทำมากที่สุดในชีวิต?
5,10,0.13285446166992188,1.1656246185302734,botnoi,tts,คุณมีความคิดอย่างไรเกี่ยวกับการทำงานจากที่บ้าน?
6,10,0.17533493041992188,1.1804590225219727,botnoi,tts,คุณคิดว่าการเปลี่ยนแปลงสภาพภูมิอากาศเป็นปัญหาที่สำคัญอย่างไร?
7,6,0.08842086791992188,1.1761932373046875,botnoi,tts,คุณชอบอ่านหนังสือประเภทไหน?
8,10,0.13578414916992188,1.115403413772583,botnoi,tts,มีประสบการณ์ไหนที่คุณรู้สึกภูมิใจในชีวิตบ้าง?
9,12,0.13724899291992188,1.1319787502288818,botnoi,tts,คุณคิดว่าอะไรคือปัญหาหลักของสังคมในปัจจุบัน?
10,9,0.15482711791992188,1.2087078094482422,botnoi,tts,คุณเคยมีประสบการณ์ที่ทำให้คุณเปลี่ยนแปลงความคิดหรือไม่?
11,6,0.08842086791992188,1.0760884284973145,botnoi,tts,คุณชอบทานอาหารประเภทไหน?
12,10,0.15043258666992188,1.0694279670715332,botnoi,tts,คุณคิดว่าในอนาคตเทคโนโลยีจะพัฒนาไปอย่างไร?
13,15,0.20219039916992188,1.508866786956787,botnoi,tts,คุณเห็นว่าการศึกษาควรมีการเปลี่ยนแปลงอย่างไรเพื่อให้ทันกับโลกในปัจจุบัน?
14,12,0.11576461791992188,1.0605058670043945,botnoi,tts,อะไรคือสิ่งที่คุณอยากทำมากที่สุดในชีวิต?
15,10,0.13285446166992188,1.1192889213562012,botnoi,tts,คุณมีความคิดอย่างไรเกี่ยวกับการทำงานจากที่บ้าน?
16,10,0.17533493041992188,1.4090139865875244,botnoi,tts,คุณคิดว่าการเปลี่ยนแปลงสภาพภูมิอากาศเป็นปัญหาที่สำคัญอย่างไร?
17,6,0.08842086791992188,1.042248249053955,botnoi,tts,คุณชอบอ่านหนังสือประเภทไหน?
18,10,0.13578414916992188,1.1373982429504395,botnoi,tts,มีประสบการณ์ไหนที่คุณรู้สึกภูมิใจในชีวิตบ้าง?
19,12,0.13724899291992188,1.124997854232788,botnoi,tts,คุณคิดว่าอะไรคือปัญหาหลักของสังคมในปัจจุบัน?
20,9,0.15482711791992188,1.187450647354126,botnoi,tts,คุณเคยมีประสบการณ์ที่ทำให้คุณเปลี่ยนแปลงความคิดหรือไม่?
21,6,0.08842086791992188,1.0765767097473145,botnoi,tts,คุณชอบทานอาหารประเภทไหน?
22,10,0.15043258666992188,1.0763587951660156,botnoi,tts,คุณคิดว่าในอนาคตเทคโนโลยีจะพัฒนาไปอย่างไร?
23,15,0.20219039916992188,1.1820755004882812,botnoi,tts,คุณเห็นว่าการศึกษาควรมีการเปลี่ยนแปลงอย่างไรเพื่อให้ทันกับโลกในปัจจุบัน?
24,12,0.11576461791992188,1.0889461040496826,botnoi,tts,อะไรคือสิ่งที่คุณอยากทำมากที่สุดในชีวิต?
25,10,0.13285446166992188,1.0916643142700195,botnoi,tts,คุณมีความคิดอย่างไรเกี่ยวกับการทำงานจากที่บ้าน?
